subject,title,author,first_publish_year,book_age_years,publication_era,edition_count,language
history,1776,David McCullough,2006,20,2000+,1,eng
history,21 Lessons for the 21st Century,Yuval Noah Harari,2018,8,2000+,33,pol
history,A Distant Mirror,Barbara Tuchman,1600,426,Pre-1900,46,eng
history,A History of Western Philosophy,Bertrand Russell,1945,81,1900-1949,14,eng
history,A People's History of the United States,Howard Zinn,1980,46,1950-1999,44,chi
history,A Room of One's Own,Virginia Woolf,1929,97,1900-1949,303,spa
history,A Study of History,Arnold J. Toynbee,1900,126,1900-1949,119,chi
history,A Walk in the Woods,Bill Bryson,1997,29,1950-1999,35,ger
history,A history of India,Romila Thapar,1965,61,1950-1999,8,eng
history,A history of Western architecture,David Watkin,1986,40,1950-1999,10,eng
history,A history of the English-speaking peoples,Winston S. Churchill,1950,76,1950-1999,211,eng
history,A history of the modern world,R. R. Palmer,1950,76,1950-1999,23,eng
history,A short history of chemistry,Isaac Asimov,1965,61,1950-1999,8,eng
history,A short history of nearly everything,Bill Bryson,2003,23,2000+,57,srp
history,Abraham Lincoln,Carl Sandburg,1926,100,1900-1949,74,eng
history,After the fact,James West Davidson,1981,45,1950-1999,22,eng
history,America,David E. Shi,2000,26,2000+,45,eng
history,America,George Brown Tindall,1984,42,1950-1999,66,eng
history,America,Mary Lynn Rampolla,1998,28,1950-1999,45,eng
history,American Odyssey,Gary B. Nash,1991,35,1950-1999,10,eng
history,An echo in the darkness,Francine Rivers,1994,32,1950-1999,17,spa
history,Anak Semua Bangsa,Pramoedya Ananta Toer,1973,53,1950-1999,13,chi
history,"Ancient, Medieval, and Non-European Art",Helen Gardner,1980,46,1950-1999,17,eng
history,Art,Frederick Hartt,1969,57,1950-1999,37,eng
history,Art history,Marilyn Stokstad,1995,31,1950-1999,46,eng
history,Before the Mayflower,Lerone Bennett,1960,66,1950-1999,50,eng
history,Bumi Manusia,Pramoedya Ananta Toer,1972,54,1950-1999,18,dut
history,Capitalist Realism,Mark Fisher,2009,17,2000+,7,por
history,Debt,David Graeber,2011,15,2000+,11,tur
history,Der Untergang des Abendlandes,Oswald Spengler,1918,108,1900-1949,139,eng
history,Discovering Classical Music,Ian Christians,1991,35,1950-1999,125,eng
history,Documentary sources of Philippine history,Gregorio F. Zaide,1990,36,1950-1999,1,eng
history,Freedom at Midnight,Dominique Lapierre,1975,51,1950-1999,48,guj
history,"Genova, Ragusa, mare =",Unknown,1993,33,1950-1999,1,ita
history,Give Me Liberty!,Eric Foner,2004,22,2000+,12,eng
history,"Guns, germs, and steel",Jared M. Diamond,1997,29,1950-1999,58,ger
history,"Götter, Gräber und Gelehrte",C. W. Ceram,1949,77,1900-1949,114,ger
history,History,Herodotus,1494,532,Pre-1900,282,ger
history,History of Africa,Kevin Shillington,1989,37,1950-1999,12,eng
history,"History of Egypt, Chaldea, Syria, Babylonia, And Assyria",Gaston Maspero,1901,125,1900-1949,27,eng
history,History of art,H. W. Janson,1962,64,1950-1999,48,eng
history,History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,1776,250,Pre-1900,222,eng
history,History of the Filipino People,Teodoro A. Agoncillo,1969,57,1950-1999,4,eng
history,Ioannis Zonarae Annales,"Zonaras, Joannes",1841,185,Pre-1900,1,mul
history,Islam,Karen Armstrong,2000,26,2000+,13,eng
history,Killers of the Flower Moon,David Grann,2017,9,2000+,19,spa
history,Kleine Geschichten aus Thüringen,Unknown,1991,35,1950-1999,1,ger
history,La conquête du pain,Peter Kropotkin,1892,134,Pre-1900,146,ger
history,La dame de Monsoreau,Alexandre Dumas,1840,186,Pre-1900,130,eng
history,Letters from a father to his daughter,Jawaharlal Nehru,1930,96,1900-1949,15,pan
history,Letters on demonology and witchcraft,Sir Walter Scott,1830,196,Pre-1900,32,eng
history,Lies My Teacher Told Me,James W. Loewen,1994,32,1950-1999,29,spa
history,Manifest der Kommunistischen Partei,Karl Marx,1848,178,Pre-1900,459,cze
history,Mga gunita ng himagsikan,Emilio Aguinaldo,1998,28,1950-1999,1,tgl
history,On Tyranny,Timothy Snyder,2017,9,2000+,21,nob
history,Osman's Dream,Caroline Finkel,2005,21,2000+,10,eng
history,P'ing-yang hsien chih,Unknown,1970,56,1950-1999,1,chi
history,Philippine history and government,Gregorio F. Zaide,1938,88,1900-1949,3,eng
history,Piacenza nella storia,Unknown,1990,36,1950-1999,1,ita
history,Postwar,Tony Judt,2005,21,2000+,18,pol
history,Prehispanic source materials for the study of Philippine history,William Henry Scott,1984,42,1950-1999,1,eng
history,Ringkasan sejarat filsafat,K. Bertens,1975,51,1950-1999,1,eng
history,Rizal without the overcoat,Ambeth R. Ocampo,1990,36,1950-1999,3,eng
history,Sapiens,Yuval Noah Harari,2011,15,2000+,86,ger
history,Siete breves lecciones de física,Carlo Rovelli,2014,12,2000+,13,ita
history,Sleep walkers,Arthur Koestler,1959,67,1950-1999,26,eng
history,The Age of Revolution,Eric Hobsbawm,1962,64,1950-1999,66,por
history,The Art of Seduction,Robert Greene,2001,25,2000+,22,eng
history,The Art of War,孙武 (Sun Tzu),1900,126,1900-1949,1542,por
history,The Dawn of Everything,David Graeber,2021,5,2000+,17,ita
history,The Destruction of black civilisation,Chancellor Williams,1971,55,1950-1999,13,eng
history,The Eagle of the Ninth. 1400 Grundwörter.,Rosemary Sutcliff,1954,72,1950-1999,33,jpn
history,The Emperor of All Maladies,Siddhartha Mukherjee,2010,16,2000+,29,spa
history,The Enduring Vision,Paul S. Boyer,1987,39,1950-1999,110,eng
history,The Great Transformation,Karl Polanyi,1944,82,1900-1949,33,chi
history,The Lessons of History,Will Durant,1968,58,1950-1999,21,per
history,The Mother Tongue,Bill Bryson,1656,370,Pre-1900,29,chi
history,"The Muqaddimah, an introduction to history",Ibn Khaldūn,1858,168,Pre-1900,54,urd
history,The Outline of History,H. G. Wells,1919,107,1900-1949,81,eng
history,The Palace of Illusions,Chitra Banerjee Divakaruni,2008,18,2000+,3,eng
