subject,title,author,first_publish_year,edition_count,language
science,Biology,Neil Alexander Campbell,1987,57,eng
science,The Fall of Hyperion,Dan Simmons,1990,29,eng
science,Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,27,ger
science,Понедельник начинается в субботу; Пикник на обочине,Аркадий Стругацкий,1978,23,por
science,The Caves of Steel,Isaac Asimov,1953,61,ger
science,The Foundation Trilogy,Isaac Asimov,1950,54,eng
science,The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,2008,30,chi
science,Nightfall,Isaac Asimov,1969,27,rus
science,The Naked Sun,Isaac Asimov,1954,52,chi
science,I Have No Mouth and I Must Scream,Harlan Ellison,1972,5,eng
science,A short history of nearly everything,Bill Bryson,2003,57,srp
science,God Emperor of Dune,Frank Herbert,1981,40,ger
science,Altered Carbon. Vol. 1,Richard K. Morgan,2002,28,eng
science,The Mote in God's Eye,Larry Niven,1974,31,eng
science,Dune Messiah,Frank Herbert,1969,70,tur
science,2001,Arthur C. Clarke,1968,116,ger
science,The End of Eternity,Isaac Asimov,1955,62,ita
science,"The Stars, Like Dust",Isaac Asimov,1951,47,por
science,Endymion,Dan Simmons,1995,18,eng
science,Lucifer's Hammer,Larry Niven,1977,13,eng
science,Microbiology,Gerard J. Tortora,1982,80,eng
science,Project Hail Mary,Andy Weir,2021,29,ger
science,The Currents of Space,Isaac Asimov,1952,46,chi
science,What If?,Randall Munroe,1980,44,eng
science,Artemis,Andy Weir,2017,33,ger
science,"The Long Way to a Small, Angry Planet",Becky Chambers,2014,21,chi
science,Chapterhouse Dune,Frank Herbert,1985,35,eng
science,Pandora's Star,Peter F. Hamilton,2004,12,ger
science,The Martian Chronicles,Ray Bradbury,1950,138,eng
science,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,15,pol
science,A Closed and Common Orbit,Becky Chambers,2016,12,por
science,Friday,Robert A. Heinlein,1982,25,ger
science,Burning Chrome,William Gibson,1986,24,rum
science,The Robots of Dawn,Isaac Asimov,1983,41,ita
science,Heretics of Dune,Frank Herbert,1984,35,eng
science,The 48 Laws of Power,Robert Greene,1998,55,ger
science,Contact,Carl Sagan,1985,50,tur
science,Solaris,Stanisław Lem,1961,76,tur
science,Snow Crash,Neal Stephenson,1992,41,ita
science,The Stars My Destination,Alfred Bester,1956,25,eng
science,The Invisible Man,H. G. Wells,0,563,ger
science,Ancillary Sword,Ann Leckie,2014,7,eng
science,The Last Colony,John Scalzi,2007,11,por
science,Foundation,Isaac Asimov,1951,99,eng
science,Dune,Frank Herbert,1965,120,ger
science,A Fire upon the Deep,Vernor Vinge,1992,24,fre
science,Starship Troopers,Robert A. Heinlein,1959,60,ita
science,Robots and Empire,Isaac Asimov,1985,26,fre
science,Les Robots,Isaac Asimov,1950,98,por
science,Ubik,Philip K. Dick,1969,68,ita
science,The Demon-Haunted World,Carl Sagan,1995,33,tur
science,The Diamond Age,Neal Stephenson,1995,28,eng
science,Sapiens,Yuval Noah Harari,2011,86,ger
science,Destroy Me,Tahereh Mafi,2012,4,dut
science,A Deepness in the Sky (Zones of Thought),Vernor Vinge,1999,10,eng
